cluster_id,fire_count,total_acres_burned,avg_acres_burned,max_fire_size,centroid_lon,centroid_lat,risk_score
2,117,4386994,37495.67521367521,1068802,-123.18990902299268,41.207318083096396,81.24870256410256
3,113,1962222,17364.796460176993,381441,-119.66351151233361,38.53586848661714,68.0958989380531
0,41,1162797,28360.90243902439,413496,-121.09208517289363,42.04254240738609,49.718030731707316
4,76,1083411,14255.407894736842,174424,-118.56051502794165,35.49401651996055,45.14206236842106
5,80,545855,6823.1875,36856,-117.1047958214169,33.62548932988169,36.25831625
1,55,477627,8684.127272727274,124382,-120.55444549775746,35.719127119718834,32.068158181818184
