cluster_id,fire_count,total_acres_burned,avg_acres_burned,max_fire_size,centroid_lon,centroid_lat,risk_score
2,102,10717071,105069.32352941176,1068802,-122.07289728795043,40.553964065109184,100.0
5,67,3065980,45760.89552238806,381441,-118.85746728170041,35.85127219840205,63.41472865671642
0,122,703044,5762.6557377049185,29924,-121.41885268455714,40.09429473260047,43.524236721311475
4,108,507608,4700.074074074074,21492,-122.06340876879356,41.10731214416887,42.69954222222223
1,146,431194,2953.3835616438355,12238,-119.93845344146882,37.16017144439414,41.62029506849315
3,92,585523,6364.380434782609,32329,-117.77064479274391,34.62755161197576,40.649054130434784
6,80,244328,3054.1,16517,-117.11579331846931,34.50617678608122,33.90725
